Iteracao,Tempo de Execucao (s),Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB)
0,0.0,0.00456,0.005112
1,0.0,0.000192,0.00072
2,0.0,2.4e-05,0.000552
3,0.0,2.4e-05,0.000552
4,0.005582094192504883,2.4e-05,0.000552
5,0.0,2.4e-05,0.000552
6,0.0,2.4e-05,0.000552
7,0.0,2.4e-05,0.000552
8,0.0,2.4e-05,0.000552
9,0.0,2.4e-05,0.000552
