Iteracao,Tempo de Execucao (s),Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB)
0,35.465413093566895,0.000432,0.000544
1,33.13214039802551,2.4e-05,0.000112
2,33.46112322807312,2.4e-05,0.000112
3,34.355984687805176,2.4e-05,0.000112
4,32.88794183731079,2.4e-05,0.000112
5,33.301552057266235,2.4e-05,0.000112
6,33.40585422515869,2.4e-05,0.000112
7,34.21009707450867,2.4e-05,0.000112
8,36.4111762046814,2.4e-05,0.000112
9,33.036672830581665,2.4e-05,0.000112
