Iteracao,Tempo de Execucao (s),Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB)
0,19.62216281890869,0.011112,0.012392
1,15.648350477218628,2.4e-05,0.00128
2,20.284013271331787,2.4e-05,0.00128
3,22.736747980117798,2.4e-05,0.00128
4,19.42584776878357,2.4e-05,0.00128
5,20.597381353378296,2.4e-05,0.00128
6,19.96256422996521,2.4e-05,0.00128
7,19.004857778549194,2.4e-05,0.00128
8,20.684754848480225,2.4e-05,0.00128
9,20.697238445281982,2.4e-05,0.00128
