Iteracao,Tempo de Execucao (s),Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB)
0,0.0,0.003192,0.00324
1,0.0,2.4e-05,4.8e-05
2,0.0,2.4e-05,4.8e-05
3,0.0,2.4e-05,4.8e-05
4,0.0,2.4e-05,4.8e-05
5,0.0,2.4e-05,4.8e-05
6,0.0,2.4e-05,4.8e-05
7,0.0,2.4e-05,4.8e-05
8,0.0,0.000192,0.000216
9,0.0,2.4e-05,4.8e-05
