Iteracao,Tempo de Execucao (s),Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB)
0,1.7266991138458252,0.000432,0.000544
1,1.6475632190704346,2.4e-05,0.000112
2,2.3245491981506348,2.4e-05,0.000112
3,2.0244269371032715,2.4e-05,0.000112
4,2.004244327545166,2.4e-05,0.000112
5,2.008321523666382,2.4e-05,0.000112
6,1.9378116130828857,2.4e-05,0.000112
7,1.8213961124420166,2.4e-05,0.000112
8,1.662255048751831,2.4e-05,0.000112
9,1.9161016941070557,2.4e-05,0.000112
