Iteracao,Tempo de Execucao (s),Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB)
0,0.9567155838012695,0.008832,0.009888
1,0.8001012802124023,2.4e-05,0.001056
2,0.8152472972869873,2.4e-05,0.001056
3,0.8317246437072754,2.4e-05,0.001056
4,0.8160805702209473,2.4e-05,0.001056
5,0.8786661624908447,2.4e-05,0.001056
6,0.8468799591064453,2.4e-05,0.001056
7,0.8786311149597168,2.4e-05,0.001056
8,0.9254992008209229,2.4e-05,0.001056
9,0.9411706924438477,2.4e-05,0.001056
